CNN,Training image count,Noise addition,Label count,Epoch count,Loss,Accuracy
Fashion-MNIST,20000,0,2,1,0.0814,0.968
Fashion-MNIST,20000,0,2,2,0.0116,0.9972
Fashion-MNIST,20000,0,2,3,0.0038,0.9992
Fashion-MNIST,20000,0,2,4,0.0036,0.9993
Fashion-MNIST,20000,0,2,5,1.52E-04,1
Fashion-MNIST,20000,0,2,6,2.35E-04,1
Fashion-MNIST,20000,0,2,7,7.82E-05,1
Fashion-MNIST,20000,0,2,8,1.98E-04,1
Fashion-MNIST,20000,0,2,9,1.10E-04,1
Fashion-MNIST,20000,0,2,10,2.27E-05,1
Fashion-MNIST,20000,0,2,11,0.0017,0.9994
Fashion-MNIST,20000,0,2,12,2.26E-05,1
Fashion-MNIST,20000,0,2,13,2.38E-05,1
Fashion-MNIST,20000,0,2,14,9.19E-06,1
Fashion-MNIST,20000,0,2,15,5.54E-05,1
Fashion-MNIST,20000,0,2,16,1.72E-05,1
Fashion-MNIST,20000,0,2,17,1.50E-06,1
Fashion-MNIST,20000,0,2,18,2.81E-07,1
Fashion-MNIST,20000,0,2,19,3.22E-07,1
Fashion-MNIST,20000,0,2,20,6.19E-07,1
Fashion-MNIST,20000,0,2,21,1.55E-07,1
Fashion-MNIST,20000,0,2,22,1.68E-07,1
Fashion-MNIST,20000,0,2,23,8.60E-07,1
Fashion-MNIST,20000,0,2,24,6.21E-07,1
Fashion-MNIST,20000,0,2,25,0.0015,0.9994
Fashion-MNIST,20000,0,2,26,3.25E-07,1
Fashion-MNIST,20000,0,2,27,2.55E-07,1
Fashion-MNIST,20000,0,2,28,4.83E-08,1
Fashion-MNIST,20000,0,2,29,4.16E-08,1
Fashion-MNIST,20000,0,2,30,1.55E-06,1
Fashion-MNIST,20000,0,2,31,1.09E-06,1
Fashion-MNIST,20000,0,2,32,1.55E-06,1
Fashion-MNIST,20000,0,2,33,6.23E-07,1
Fashion-MNIST,20000,0,2,34,1.46E-07,1
Fashion-MNIST,20000,0,2,35,1.16E-08,1
Fashion-MNIST,20000,0,2,36,5.45E-08,1
Fashion-MNIST,20000,0,2,37,2.36E-07,1
Fashion-MNIST,20000,0,2,38,3.02E-09,1
Fashion-MNIST,20000,0,2,39,3.10E-09,1
Fashion-MNIST,20000,0,2,40,4.94E-08,1
Fashion-MNIST,20000,0,2,41,1.01E-08,1
